"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"2","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"3","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"4","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"5","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"6","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
"7","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"8","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
"9","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","2","no","250","-250","137"
"10","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","3","no","250","-250","137"
"11","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"12","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"13","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","2","yes","250","-250","137"
"14","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","3","yes","250","-250","137"
"15","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"16","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"17","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","2","yes","250","-250","137"
"18","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","1","yes","250","-250","137"
"19","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","verschillend van","2","no","250","-250","137"
"20","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","1","no","250","-250","137"
"21","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","137"
"22","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","137"
"23","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","yes","250","-250","137"
"24","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","yes","250","-250","137"
"25","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"26","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"27","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"28","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"29","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"30","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
"31","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"32","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
