"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","131"
"2","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","131"
"3","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","131"
"4","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","131"
"5","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","131"
"6","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","131"
"7","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","131"
"8","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","131"
"9","is verschillend van","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","131"
"10","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","131"
"11","is verschillend van","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","131"
"12","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","131"
"13","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","131"
"14","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","131"
"15","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","131"
"16","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","131"
"17","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","131"
"18","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","131"
"19","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","131"
"20","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","131"
"21","is verschillend van","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","131"
"22","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","131"
"23","is verschillend van","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","131"
"24","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","131"
