"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","250","-250","128"
"2","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","250","-250","128"
"3","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","no","250","-250","128"
"4","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","no","250","-250","128"
"5","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","250","-250","128"
"6","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","250","-250","128"
"7","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","250","-250","128"
"8","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","250","-250","128"
"9","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","-250","250","128"
"10","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","-250","250","128"
"11","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","no","-250","250","128"
"12","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","no","-250","250","128"
"13","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","-250","250","128"
"14","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","-250","250","128"
"15","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","-250","250","128"
"16","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","-250","250","128"
