"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","250","-250","133"
"2","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","250","-250","133"
"3","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","2","yes","250","-250","133"
"4","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","3","yes","250","-250","133"
"5","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","250","-250","133"
"6","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","250","-250","133"
"7","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","1","yes","250","-250","133"
"8","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","3","yes","250","-250","133"
"9","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","133"
"10","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","133"
"11","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","133"
"12","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","133"
"13","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","133"
"14","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","133"
"15","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","133"
"16","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","133"
"17","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","133"
"18","is verschillend van","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","133"
"19","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","133"
"20","is verschillend van","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","133"
"21","is verschillend van","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","133"
"22","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","133"
"23","is verschillend van","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","133"
"24","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","133"
"25","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","-250","250","133"
"26","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","-250","250","133"
"27","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","2","yes","-250","250","133"
"28","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","3","yes","-250","250","133"
"29","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","-250","250","133"
"30","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","-250","250","133"
"31","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","1","yes","-250","250","133"
"32","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","3","yes","-250","250","133"
"33","is verschillend van","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","133"
"34","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","133"
"35","is verschillend van","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","133"
"36","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","133"
"37","is verschillend van","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","133"
"38","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","133"
"39","is verschillend van","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","133"
"40","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","133"
"41","is verschillend van","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","133"
"42","is verschillend van","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","133"
"43","is verschillend van","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","133"
"44","is verschillend van","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","133"
"45","is verschillend van","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","133"
"46","is verschillend van","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","133"
"47","is verschillend van","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","133"
"48","is verschillend van","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","133"
