"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","127"
"2","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","127"
"3","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","127"
"4","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","127"
"5","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","127"
"6","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","127"
"7","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","127"
"8","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","127"
"9","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","127"
"10","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","127"
"11","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","127"
"12","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","127"
"13","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","127"
"14","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","127"
"15","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","127"
"16","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","127"
