X,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
1,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,yes,250,-250,138
2,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,yes,250,-250,138
3,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,no,250,-250,138
4,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,no,250,-250,138
5,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,250,-250,138
6,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,250,-250,138
7,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,250,-250,138
8,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,250,-250,138
9,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,yes,-250,250,138
10,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,yes,-250,250,138
11,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,no,-250,250,138
12,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,no,-250,250,138
13,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,-250,250,138
14,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,-250,250,138
15,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,-250,250,138
16,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,-250,250,138
