relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
pride pred,3,pride pred,1,2,pride pred,4,1,pride pred,4,yes,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,4,pride pred,1,no,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,1,pride za,4,no,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,4,pride za,1,yes,250,-250,76
pride pred,2,pride pred,4,3,pride pred,1,3,pride pred,2,yes,250,-250,76
pride pred,2,pride pred,4,3,pride pred,1,2,pride pred,3,no,250,-250,76
pride pred,2,pride pred,4,3,pride pred,1,3,pride za,2,no,250,-250,76
pride pred,2,pride pred,4,3,pride pred,1,2,pride za,3,yes,250,-250,76
pride pred,3,pride pred,1,4,pride pred,3,4,pride pred,1,yes,250,-250,76
pride pred,3,pride pred,1,4,pride pred,3,1,pride pred,4,no,250,-250,76
pride pred,3,pride pred,1,4,pride pred,3,4,pride za,1,no,250,-250,76
pride pred,3,pride pred,1,4,pride pred,3,1,pride za,4,yes,250,-250,76
pride pred,2,pride pred,3,4,pride pred,1,1,pride pred,3,yes,250,-250,76
pride pred,2,pride pred,3,4,pride pred,1,3,pride pred,1,no,250,-250,76
pride pred,2,pride pred,3,4,pride pred,1,1,pride za,3,no,250,-250,76
pride pred,2,pride pred,3,4,pride pred,1,3,pride za,1,yes,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,3,pride pred,2,yes,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,2,pride pred,3,no,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,3,pride za,2,no,250,-250,76
pride pred,3,pride pred,1,2,pride pred,4,2,pride za,3,yes,250,-250,76
pride pred,4,pride pred,1,2,pride pred,3,3,pride za,1,yes,250,-250,76
pride pred,4,pride pred,1,2,pride pred,3,1,pride za,3,no,250,-250,76
pride pred,4,pride pred,1,2,pride pred,3,3,pride pred,1,no,250,-250,76
pride pred,4,pride pred,1,2,pride pred,3,1,pride pred,3,yes,250,-250,76
pride pred,2,pride pred,4,4,pride pred,3,4,pride za,1,yes,250,-250,76
pride pred,2,pride pred,4,4,pride pred,3,1,pride za,4,no,250,-250,76
pride pred,2,pride pred,4,4,pride pred,3,4,pride pred,1,no,250,-250,76
pride pred,2,pride pred,4,4,pride pred,3,1,pride pred,4,yes,250,-250,76
pride pred,4,pride pred,3,2,pride pred,4,4,pride za,1,yes,250,-250,76
pride pred,4,pride pred,3,2,pride pred,4,1,pride za,4,no,250,-250,76
pride pred,4,pride pred,3,2,pride pred,4,4,pride pred,1,no,250,-250,76
pride pred,4,pride pred,3,2,pride pred,4,1,pride pred,4,yes,250,-250,76
pride pred,3,pride pred,4,4,pride pred,1,3,pride pred,1,yes,250,-250,76
pride pred,3,pride pred,4,4,pride pred,1,1,pride pred,3,no,250,-250,76
pride pred,3,pride pred,4,4,pride pred,1,3,pride za,1,no,250,-250,76
pride pred,3,pride pred,4,4,pride pred,1,1,pride za,3,yes,250,-250,76
pride pred,2,pride pred,3,3,pride pred,4,3,pride za,1,yes,250,-250,76
pride pred,2,pride pred,3,3,pride pred,4,1,pride za,3,no,250,-250,76
pride pred,2,pride pred,3,3,pride pred,4,3,pride pred,1,no,250,-250,76
pride pred,2,pride pred,3,3,pride pred,4,1,pride pred,3,yes,250,-250,76
