X,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
1,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,yes,250,-250,139
2,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,yes,250,-250,139
3,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,no,250,-250,139
4,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,no,250,-250,139
5,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,250,-250,139
6,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,250,-250,139
7,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,250,-250,139
8,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,250,-250,139
9,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,1,yes,250,-250,139
10,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,4,yes,250,-250,139
11,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,1,no,250,-250,139
12,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,4,no,250,-250,139
13,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,yes,-250,250,139
14,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,yes,-250,250,139
15,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,no,-250,250,139
16,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,no,-250,250,139
17,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,-250,250,139
18,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,-250,250,139
19,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,-250,250,139
20,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,-250,250,139
21,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,1,yes,-250,250,139
22,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,4,yes,-250,250,139
23,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,1,no,-250,250,139
24,is hetzelfde als,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,4,no,-250,250,139
