relation_1,meta_relation_1,relation_2,meta_stim_1_id,meta_relation_2,meta_stim_2_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,stage,yes_x_coord,no_x_coord,q_word
plus,is hetzelfde als,plus,1,is minder dan,3,2,minder dan,4,no,109,-250,250,Is
plus,is hetzelfde als,plus,1,is minder dan,3,4,minder dan,2,yes,109,-250,250,Is
plus,is hetzelfde als,plus,3,is minder dan,1,2,minder dan,4,yes,109,-250,250,Is
plus,is hetzelfde als,plus,3,is minder dan,1,4,minder dan,2,no,109,-250,250,Is
plus,is hetzelfde als,plus,2,is minder dan,4,1,minder dan,3,no,109,-250,250,Is
plus,is hetzelfde als,plus,2,is minder dan,4,3,minder dan,1,yes,109,-250,250,Is
plus,is hetzelfde als,plus,4,is minder dan,2,1,minder dan,3,yes,109,-250,250,Is
plus,is hetzelfde als,plus,4,is minder dan,2,3,minder dan,1,no,109,-250,250,Is
plus,is hetzelfde als,plus,1,is minder dan,4,3,minder dan,2,yes,109,-250,250,Is
plus,is hetzelfde als,plus,1,is minder dan,4,2,minder dan,3,no,109,-250,250,Is
plus,is hetzelfde als,plus,4,is minder dan,1,3,minder dan,2,no,109,-250,250,Is
plus,is hetzelfde als,plus,4,is minder dan,1,2,minder dan,3,yes,109,-250,250,Is
plus,is hetzelfde als,plus,2,is minder dan,3,4,minder dan,1,yes,109,-250,250,Is
plus,is hetzelfde als,plus,2,is minder dan,3,1,minder dan,4,no,109,-250,250,Is
plus,is hetzelfde als,plus,3,is minder dan,2,4,minder dan,1,no,109,-250,250,Is
plus,is hetzelfde als,plus,3,is minder dan,2,1,minder dan,4,yes,109,-250,250,Is
plus,is minder dan,plus,1,is hetzelfde als,3,2,minder dan,4,yes,109,-250,250,Is
plus,is minder dan,plus,1,is hetzelfde als,3,4,minder dan,2,no,109,-250,250,Is
plus,is minder dan,plus,3,is hetzelfde als,1,2,minder dan,4,yes,109,-250,250,Is
plus,is minder dan,plus,3,is hetzelfde als,1,4,minder dan,2,no,109,-250,250,Is
plus,is minder dan,plus,2,is hetzelfde als,4,1,minder dan,3,yes,109,-250,250,Is
plus,is minder dan,plus,2,is hetzelfde als,4,3,minder dan,1,no,109,-250,250,Is
plus,is minder dan,plus,4,is hetzelfde als,2,1,minder dan,3,yes,109,-250,250,Is
plus,is minder dan,plus,4,is hetzelfde als,2,3,minder dan,1,no,109,-250,250,Is
plus,is minder dan,plus,1,is hetzelfde als,4,2,minder dan,3,yes,109,-250,250,Is
plus,is minder dan,plus,1,is hetzelfde als,4,3,minder dan,2,no,109,-250,250,Is
plus,is minder dan,plus,4,is hetzelfde als,1,2,minder dan,3,yes,109,-250,250,Is
plus,is minder dan,plus,4,is hetzelfde als,1,3,minder dan,2,no,109,-250,250,Is
plus,is minder dan,plus,2,is hetzelfde als,3,1,minder dan,4,yes,109,-250,250,Is
plus,is minder dan,plus,2,is hetzelfde als,3,4,minder dan,1,no,109,-250,250,Is
plus,is minder dan,plus,3,is hetzelfde als,2,1,minder dan,4,yes,109,-250,250,Is
plus,is minder dan,plus,3,is hetzelfde als,2,4,minder dan,1,no,109,-250,250,Is
