stim_1_id,relation_1,stim_2_id,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,q_word,yes_x_coord,no_x_coord,stage
2,zit in,1,2,bevat,3,,,,,,,1,,2,yes,Bevat,-250,250,96
2,zit in,1,2,bevat,3,,,,,,,1,,3,yes,Bevat,-250,250,96
2,zit in,1,2,bevat,3,,,,,,,2,,3,yes,Bevat,-250,250,96
2,zit in,1,2,bevat,3,,,,,,,3,,1,no,Bevat,-250,250,96
2,zit in,1,2,bevat,3,,,,,,,3,,2,no,Bevat,-250,250,96
2,zit in,1,2,bevat,3,,,,,,,2,,1,no,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,1,,2,yes,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,1,,3,yes,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,2,,3,yes,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,3,,1,no,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,3,,2,no,Bevat,-250,250,96
3,zit in,2,1,bevat,2,,,,,,,2,,1,no,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,1,,2,yes,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,1,,3,yes,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,2,,3,yes,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,3,,1,no,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,3,,2,no,Bevat,-250,250,96
2,bevat,3,2,zit in,1,,,,,,,2,,1,no,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,1,,2,yes,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,1,,3,yes,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,2,,3,yes,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,3,,1,no,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,3,,2,no,Bevat,-250,250,96
1,bevat,2,3,zit in,2,,,,,,,2,,1,no,Bevat,-250,250,96
